Dates,PX_BID,LAST_PRICE,CHG_PCT_1D
20-04-2012,52.08,52.085,-0.1151
23-04-2012,52.52,52.525,0.8448
24-04-2012,52.69,52.695,0.3237
25-04-2012,52.54,52.545,-0.2847
26-04-2012,52.55,52.555,0.019
27-04-2012,52.535,52.5425,-0.0238
30-04-2012,52.73,52.7363,0.3688
02-05-2012,52.95,52.955,0.4147
03-05-2012,53.41,53.415,0.8687
04-05-2012,53.47,53.475,0.1123
07-05-2012,52.91,52.915,-1.0472
08-05-2012,53.14,53.145,0.4347
09-05-2012,53.825,53.8275,1.2842
10-05-2012,53.42,53.425,-0.7478
11-05-2012,53.63,53.635,0.3931
14-05-2012,53.95,53.9563,0.599
15-05-2012,53.79,53.795,-0.2989
16-05-2012,54.4925,54.4975,1.3059
17-05-2012,54.48,54.485,-0.0229
18-05-2012,54.42,54.425,-0.1101
21-05-2012,55.03,55.035,1.1208
22-05-2012,55.39,55.395,0.6541
23-05-2012,56,56.005,1.1012
24-05-2012,55.65,55.655,-0.6249
25-05-2012,55.37,55.375,-0.5031
28-05-2012,55.18,55.1863,-0.3408
29-05-2012,55.67,55.675,0.8855
30-05-2012,56.23,56.2325,1.0013
31-05-2012,56.105,56.11,-0.2178
01-06-2012,55.58,55.585,-0.9357
04-06-2012,55.66,55.665,0.1439
05-06-2012,55.64,55.645,-0.0359
06-06-2012,55.36,55.365,-0.5032
07-06-2012,54.94,54.945,-0.7586
08-06-2012,55.45,55.455,0.9282
11-06-2012,55.7275,55.735,0.5049
12-06-2012,55.81,55.815,0.1435
13-06-2012,55.68,55.685,-0.2329
14-06-2012,55.81,55.815,0.2335
15-06-2012,55.48,55.49,-0.5823
18-06-2012,55.915,55.92,0.7749
19-06-2012,55.96,55.97,0.0894
20-06-2012,56.14,56.1462,0.3148
21-06-2012,56.3,56.3075,0.2873
22-06-2012,57.15,57.155,1.5051
25-06-2012,57.01,57.015,-0.2449
26-06-2012,57.03,57.035,0.0351
27-06-2012,57.13,57.1375,0.1797
28-06-2012,56.8,56.8063,-0.5797
29-06-2012,55.625,55.6375,-2.0575
02-07-2012,55.42,55.4262,-0.3798
03-07-2012,54.37,54.3725,-1.9011
04-07-2012,54.49,54.495,0.2253
05-07-2012,54.95,54.955,0.8441
06-07-2012,55.45,55.455,0.9098
09-07-2012,55.93,55.9375,0.8701
10-07-2012,55.39,55.395,-0.9698
11-07-2012,55.63,55.635,0.4333
12-07-2012,55.92,55.925,0.5213
13-07-2012,55.14,55.145,-1.3947
16-07-2012,55.32,55.325,0.3264
17-07-2012,55.11,55.1162,-0.3774
18-07-2012,55.49,55.495,0.6873
19-07-2012,55.13,55.135,-0.6487
20-07-2012,55.32,55.3262,0.3468
23-07-2012,55.9675,55.9738,1.1705
24-07-2012,56.115,56.12,0.2612
25-07-2012,56.15,56.16,0.0713
26-07-2012,55.51,55.515,-1.1485
27-07-2012,55.33,55.34,-0.3152
30-07-2012,55.58,55.5875,0.4472
31-07-2012,55.65,55.655,0.1214
01-08-2012,55.47,55.4737,-0.3258
02-08-2012,55.83,55.835,0.6513
03-08-2012,55.75,55.755,-0.1433
06-08-2012,55.5175,55.5225,-0.417
07-08-2012,55.0625,55.0687,-0.8173
08-08-2012,55.41,55.415,0.6289
09-08-2012,55.29,55.295,-0.2165
10-08-2012,55.28,55.285,-0.0181
13-08-2012,55.335,55.3425,0.104
14-08-2012,55.6525,55.6588,0.5715
16-08-2012,55.77,55.775,0.2088
17-08-2012,55.74,55.745,-0.0538
21-08-2012,55.57,55.575,-0.305
22-08-2012,55.485,55.4913,-0.1506
23-08-2012,55.25,55.255,-0.4258
24-08-2012,55.49,55.495,0.4343
27-08-2012,55.6875,55.6888,0.3492
28-08-2012,55.67,55.675,-0.0248
29-08-2012,55.62,55.625,-0.0898
30-08-2012,55.6275,55.6337,0.0156
31-08-2012,55.52,55.5263,-0.193
03-09-2012,55.53,55.535,0.0157
04-09-2012,55.66,55.66,0.2251
05-09-2012,55.9075,55.9125,0.4536
06-09-2012,55.64,55.645,-0.4784
07-09-2012,55.39,55.395,-0.4493
10-09-2012,55.44,55.445,0.0903
11-09-2012,55.34,55.345,-0.1804
12-09-2012,55.2225,55.2287,-0.2101
13-09-2012,55.41,55.415,0.3373
14-09-2012,54.3,54.3063,-2.0007
17-09-2012,54,54.0075,-0.5502
18-09-2012,53.99,53.995,-0.0231
20-09-2012,54.38,54.385,0.7223
21-09-2012,53.46,53.465,-1.6916
24-09-2012,53.47,53.475,0.0187
25-09-2012,53.37,53.375,-0.187
26-09-2012,53.515,53.5225,0.2763
27-09-2012,53.02,53.025,-0.9295
28-09-2012,52.855,52.86,-0.3112
01-10-2012,52.37,52.395,-0.8797
03-10-2012,52.16,52.165,-0.439
04-10-2012,51.74,51.745,-0.8051
05-10-2012,51.85,51.855,0.2126
08-10-2012,52.64,52.645,1.5235
09-10-2012,52.73,52.735,0.171
10-10-2012,53.05,53.0563,0.6093
11-10-2012,52.68,52.685,-0.6998
12-10-2012,52.815,52.82,0.2562
15-10-2012,53.01,53.015,0.3692
16-10-2012,52.88,52.885,-0.2452
17-10-2012,52.87,52.8775,-0.0142
18-10-2012,53.41,53.415,1.0165
19-10-2012,53.835,53.84,0.7957
22-10-2012,53.47,53.475,-0.6779
23-10-2012,53.73,53.735,0.4862
25-10-2012,53.57,53.575,-0.2978
29-10-2012,54.065,54.0725,0.9286
30-10-2012,53.96,53.9662,-0.1966
31-10-2012,53.81,53.8138,-0.2824
01-11-2012,53.7,53.705,-0.2022
02-11-2012,53.8075,53.8112,0.1977
05-11-2012,54.6,54.6075,1.4798
06-11-2012,54.43,54.435,-0.3159
07-11-2012,54.21,54.215,-0.4042
08-11-2012,54.37,54.375,0.2951
09-11-2012,54.75,54.755,0.6989
12-11-2012,54.87,54.875,0.2192
15-11-2012,54.68,54.685,-0.3462
16-11-2012,55.17,55.175,0.896
19-11-2012,55.06,55.065,-0.1994
20-11-2012,55.09,55.095,0.0545
21-11-2012,55.12,55.125,0.0545
22-11-2012,55.2,55.21,0.1542
23-11-2012,55.51,55.515,0.5524
26-11-2012,55.72,55.725,0.3783
27-11-2012,55.45,55.455,-0.4845
29-11-2012,54.82,54.825,-1.1361
30-11-2012,54.26,54.265,-1.0214
03-12-2012,54.76,54.765,0.9214
04-12-2012,54.68,54.685,-0.1461
05-12-2012,54.5525,54.5563,-0.2353
06-12-2012,54.13,54.1375,-0.7676
07-12-2012,54.47,54.475,0.6234
10-12-2012,54.5,54.505,0.0551
11-12-2012,54.27,54.275,-0.422
12-12-2012,54.3125,54.3187,0.0805
13-12-2012,54.46,54.465,0.2693
14-12-2012,54.48,54.485,0.0367
17-12-2012,54.84,54.845,0.6607
18-12-2012,54.85,54.8512,0.0113
19-12-2012,54.54,54.545,-0.5582
20-12-2012,54.85,54.855,0.5683
21-12-2012,55.06,55.0675,0.3874
24-12-2012,54.95,54.955,-0.2043
26-12-2012,54.84,54.845,-0.2002
27-12-2012,54.9275,54.9338,0.1619
28-12-2012,54.77,54.775,-0.2891
31-12-2012,54.98,54.985,0.3834
01-01-2013,54.68,54.685,-0.5456
02-01-2013,54.355,54.36,-0.5943
03-01-2013,54.48,54.49,0.2391
04-01-2013,55.07,55.075,1.0736
07-01-2013,55.22,55.225,0.2724
08-01-2013,55,55.005,-0.3984
09-01-2013,54.75,54.755,-0.4545
10-01-2013,54.57,54.575,-0.3287
11-01-2013,54.75,54.76,0.339
14-01-2013,54.49,54.4975,-0.4794
15-01-2013,54.62,54.625,0.234
16-01-2013,54.69,54.695,0.1281
17-01-2013,54.385,54.39,-0.5576
18-01-2013,53.7,53.705,-1.2594
21-01-2013,53.75,53.755,0.0931
22-01-2013,53.8,53.805,0.093
23-01-2013,53.6675,53.6738,-0.2438
24-01-2013,53.68,53.685,0.0209
28-01-2013,53.91,53.915,0.4284
29-01-2013,53.77,53.775,-0.2597
30-01-2013,53.3,53.305,-0.874
31-01-2013,53.2175,53.2237,-0.1525
01-02-2013,53.195,53.1975,-0.0492
04-02-2013,53.28,53.285,0.1645
05-02-2013,53.1225,53.1275,-0.2956
06-02-2013,53.16,53.165,0.0706
07-02-2013,53.215,53.2225,0.1082
08-02-2013,53.5,53.505,0.5308
11-02-2013,53.85,53.855,0.6541
12-02-2013,53.845,53.8525,-0.0046
13-02-2013,53.81,53.8175,-0.065
14-02-2013,53.9225,53.9287,0.2066
15-02-2013,54.22,54.225,0.5494
18-02-2013,54.195,54.2,-0.0461
20-02-2013,54.06,54.065,-0.2491
21-02-2013,54.475,54.48,0.7676
22-02-2013,54.18,54.185,-0.5415
25-02-2013,53.865,53.8713,-0.5789
26-02-2013,54.09,54.095,0.4152
27-02-2013,53.87,53.875,-0.4067
28-02-2013,54.355,54.36,0.9002
01-03-2013,54.9,54.905,1.0026
04-03-2013,54.86,54.865,-0.0729
05-03-2013,54.92,54.925,0.1094
06-03-2013,54.715,54.7188,-0.3754
07-03-2013,54.56,54.565,-0.2811
08-03-2013,54.2875,54.2912,-0.5018
11-03-2013,54.405,54.41,0.2188
12-03-2013,54.1875,54.1925,-0.3997
13-03-2013,54.3,54.305,0.2076
14-03-2013,54.36,54.365,0.1105
15-03-2013,54.015,54.02,-0.6346
18-03-2013,54.17,54.175,0.2869
19-03-2013,54.37,54.375,0.3692
20-03-2013,54.36,54.365,-0.0184
21-03-2013,54.2775,54.2825,-0.1518
22-03-2013,54.33,54.335,0.0967
25-03-2013,54.1725,54.1787,-0.2877
26-03-2013,54.36,54.365,0.3439
28-03-2013,54.275,54.28,-0.1564
02-04-2013,54.26,54.2675,-0.023
03-04-2013,54.435,54.44,0.3179
04-04-2013,54.88,54.885,0.8174
05-04-2013,54.8075,54.8125,-0.1321
08-04-2013,54.57,54.575,-0.4333
09-04-2013,54.58,54.585,0.0183
10-04-2013,54.52,54.525,-0.1099
12-04-2013,54.52,54.525,0
15-04-2013,54.625,54.6287,0.1902
16-04-2013,54.14,54.145,-0.8854
17-04-2013,54.2,54.205,0.1108
18-04-2013,53.965,53.9713,-0.4311
22-04-2013,54.14,54.145,0.3218
23-04-2013,54.38,54.385,0.4433
25-04-2013,54.215,54.2225,-0.2988
26-04-2013,54.37,54.375,0.2812
29-04-2013,54.24,54.245,-0.2391
30-04-2013,53.8,53.805,-0.8111
02-05-2013,53.81,53.815,0.0186
03-05-2013,53.93,53.935,0.223
06-05-2013,54.185,54.1875,0.4682
07-05-2013,54.14,54.145,-0.0784
08-05-2013,54.16,54.165,0.0369
09-05-2013,54.24,54.245,0.1477
10-05-2013,54.795,54.8,1.0231
13-05-2013,54.73,54.735,-0.1186
14-05-2013,54.8125,54.8162,0.1484
15-05-2013,54.7775,54.78,-0.066
16-05-2013,54.78,54.785,0.0091
17-05-2013,54.88,54.885,0.1825
20-05-2013,55.105,55.1125,0.4145
21-05-2013,55.405,55.415,0.5489
22-05-2013,55.47,55.475,0.1083
23-05-2013,55.58,55.585,0.1983
24-05-2013,55.6375,55.6425,0.1034
27-05-2013,55.57,55.575,-0.1213
28-05-2013,55.96,55.965,0.7018
29-05-2013,56.165,56.1675,0.3618
30-05-2013,56.37,56.375,0.3694
31-05-2013,56.5,56.505,0.2306
03-06-2013,56.76,56.765,0.4601
04-06-2013,56.4475,56.4525,-0.5505
05-06-2013,56.7275,56.7313,0.4939
06-06-2013,56.84,56.8463,0.2027
07-06-2013,57.06,57.065,0.3847
10-06-2013,58.135,58.1375,1.8794
11-06-2013,58.39,58.395,0.4429
12-06-2013,57.785,57.79,-1.036
13-06-2013,57.985,57.99,0.3461
14-06-2013,57.52,57.5263,-0.7996
17-06-2013,57.86,57.865,0.5888
18-06-2013,58.765,58.7725,1.5683
19-06-2013,58.71,58.715,-0.0978
20-06-2013,59.5675,59.5725,1.4604
21-06-2013,59.26,59.2675,-0.512
24-06-2013,59.67,59.675,0.6876
25-06-2013,59.67,59.675,0
26-06-2013,60.72,60.73,1.7679
27-06-2013,60.19,60.2,-0.8727
28-06-2013,59.38,59.39,-1.3455
01-07-2013,59.52,59.5225,0.2231
02-07-2013,59.66,59.665,0.2394
03-07-2013,60.21,60.22,0.9302
04-07-2013,60.125,60.13,-0.1495
05-07-2013,60.2325,60.2412,0.1849
08-07-2013,60.61,60.615,0.6205
09-07-2013,60.14,60.145,-0.7754
10-07-2013,59.65,59.655,-0.8147
11-07-2013,59.675,59.68,0.0419
12-07-2013,59.62,59.63,-0.0838
15-07-2013,59.89,59.895,0.4444
16-07-2013,59.31,59.315,-0.9684
17-07-2013,59.34,59.345,0.0506
18-07-2013,59.68,59.685,0.5729
19-07-2013,59.3425,59.3487,-0.5635
22-07-2013,59.7125,59.7188,0.6236
23-07-2013,59.76,59.765,0.0774
24-07-2013,59.12,59.1275,-1.0667
25-07-2013,59.1,59.1075,-0.0338
